event_id,session_id,is_bot,event_type,bot_id,action,timestamp,ip_address,user_agent,actions_per_session,prev_timestamp,time_diff_sec,action_code,bot_code
40a95af1-b687-49d2-950d-37557ba3bea0,01015f72,0,human,none,click,2025-12-05 23:13:51.807787895,66.249.78.229,Googlebot/2.1 (+http://www.google.com/bot.html),1,,0.0,0,4
ab07b958-addd-419d-9f21-1cb9f4f29efc,015b59a5,1,bot,selenium_bot,scroll,2025-12-05 22:49:44.914447546,10.183.188.244,Selenium/Chrome/120.0.6099.109,1,,0.0,3,7
4bbee782-aca2-4d1b-9444-937e552f66b5,01aabb63,0,human,none,page_view,2025-12-05 23:01:03.813775301,172.16.36.205,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",1,,0.0,2,4
1b5c7f3c-8ecc-4f1e-842d-740073564756,02ab8b19,0,human,none,click,2025-12-05 22:58:07.104665756,192.168.196.44,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15",1,,0.0,0,4
6b557d72-31d2-4adb-b5f7-a4c7a0cfc338,0308aa2b,0,human,none,page_view,2025-12-05 22:58:07.019825220,10.0.184.24,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15",1,,0.0,2,4
bb6d3788-26b8-4f2a-ade2-5dfe16281494,030aa08a,0,human,none,scroll,2025-12-05 23:17:13.546240568,172.16.149.195,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,1,,0.0,3,4
1aab07c1-5565-452f-88df-49704686f79a,0385ff76,1,bot,selenium_bot,search,2025-12-05 23:17:31.544667006,10.47.211.39,Go-http-client/2.0,1,,0.0,4,7
bd75f618-f962-442a-8158-24c432e9a1b5,0435ec27,0,human,none,scroll,2025-12-05 23:13:47.470140696,10.0.144.122,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15",1,,0.0,3,4
652d29e9-0791-47c5-8f5a-d73bd37db612,0455b7bc,0,human,none,page_view,2025-12-05 22:49:49.018199921,157.55.39.195,Go-http-client/2.0,1,,0.0,2,4
cd387dbe-6005-4860-b7e7-09d88f4a4269,055c811c,0,human,none,click,2025-12-05 22:57:51.458216906,172.16.236.214,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",1,,0.0,0,4
e657198e-f6d5-4f44-aa2c-e732446ed9ff,05e53608,0,human,none,scroll,2025-12-05 22:57:59.146330833,172.16.241.34,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",1,,0.0,3,4
6b86aca6-12cd-491c-958f-396f3f4d8a2e,06dc12e2,0,human,none,search,2025-12-05 22:58:45.195360184,172.16.71.107,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,1,,0.0,4,4
9a9e6c94-60de-4ded-8887-ae4c7fe11bbd,0716e49c,0,human,none,page_view,2025-12-05 22:48:35.667041540,10.0.45.231,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",1,,0.0,2,4
99140754-b110-4c5a-8d77-7796f2874e92,07a4aee4,1,bot,scraper_bot,click,2025-12-05 23:14:22.372407198,66.249.67.211,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),1,,0.0,0,6
039d0134-e2e6-4d27-98b1-afe00217aee4,07e94bb0,0,human,none,scroll,2025-12-05 22:58:08.226850748,192.168.161.151,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15",1,,0.0,3,4
fc0f38eb-bb89-41bc-b4f7-75d9a20cdb99,087ffc79,1,bot,yandex_bot,page_view,2025-12-05 23:14:06.887070417,66.249.73.123,Selenium/Chrome/120.0.6099.109,1,,0.0,2,9
f20ec23f-3610-44d2-94ac-8754e39eb740,0ab2f455,0,human,none,page_view,2025-12-05 23:16:00.405924082,172.16.104.231,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",1,,0.0,2,4
ce087570-8d0c-49ec-bbbe-9dd6118e01c4,0ae936c7,1,bot,bingbot,click,2025-12-05 22:51:26.922813892,10.82.39.168,Go-http-client/2.0,1,,0.0,0,0
7f79bf47-b5fd-47e4-b0cc-87d7a0a93ac1,0dc72931,0,human,none,page_view,2025-12-05 22:58:57.519102097,10.0.174.58,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",1,,0.0,2,4
cb95e956-f092-4844-bb0a-74e1d6afead2,0eb2382c,1,bot,selenium_bot,login,2025-12-05 22:49:13.379268646,192.168.134.47,Googlebot/2.1 (+http://www.google.com/bot.html),1,,0.0,1,7
eb0d75da-7fbf-4461-b805-3fdf7e251484,0f38b4c0,0,human,none,click,2025-12-05 22:58:32.039483547,10.0.71.196,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15",1,,0.0,0,4
705402bf-6d0c-410f-945b-b436b048fda1,11905a9f,0,human,none,scroll,2025-12-05 22:50:19.062250853,172.16.47.142,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",1,,0.0,3,4
74c228f7-309d-445b-8c5f-600040ba1009,13fda2c7,1,bot,curl_bot,page_view,2025-12-05 22:49:29.125258684,192.168.67.150,Mozilla/5.0 (compatible; Bingbot/2.0; +http://www.bing.com/bingbot.htm),1,,0.0,2,1
3fa2965c-857e-4602-ab01-f0021286525e,15457408,1,bot,selenium_bot,page_view,2025-12-05 23:14:00.848982334,66.249.81.135,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),1,,0.0,2,7
ec36bd44-7e2e-4ab1-85d2-22a07711a63e,15d42127,0,human,none,scroll,2025-12-05 22:49:08.559192181,10.0.30.129,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15",1,,0.0,3,4
2000e807-c1db-4b46-9a3d-896ce84757cc,1624257d,0,human,none,click,2025-12-05 23:14:33.357007980,192.168.167.124,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",1,,0.0,0,4
258a7190-da0c-4e15-9d0c-cbaac379ce86,167c22b7,0,human,none,login,2025-12-05 23:14:04.430174589,192.168.168.165,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",1,,0.0,1,4
79edea00-a9dc-4fab-902f-922978e6eaca,16d3afd7,0,human,none,search,2025-12-05 23:14:08.153641224,192.168.100.224,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,1,,0.0,4,4
da2970a5-9b2e-4da0-ba8b-23b1c12ef3f7,17aac429,1,bot,facebook_externalhit,search,2025-12-05 22:53:14.345072985,66.249.89.239,Googlebot/2.1 (+http://www.google.com/bot.html),1,,0.0,4,2
97b025b5-08bc-4dc1-91ed-213540e1e8c3,18aff4ae,0,human,none,login,2025-12-05 22:58:39.125482798,172.16.108.201,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",1,,0.0,1,4
dd0d9bcf-3fb7-485e-8f5c-89874f4fe89d,19fb5ebe,0,human,none,scroll,2025-12-05 22:58:08.051364422,10.0.123.215,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",1,,0.0,3,4
0860846f-8ac8-4f0b-8222-6bf8aca48a23,1a4ff287,0,human,none,page_view,2025-12-05 22:48:36.747538328,172.16.236.116,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15",1,,0.0,2,4
2a3bda7c-7ab8-48e5-b9fc-230fc7ec0d7b,1be2fd79,1,bot,bingbot,click,2025-12-05 22:53:05.513104915,192.168.61.189,python-requests/2.31.0,1,,0.0,0,0
654348a7-c4c9-4767-af94-69d68d15fded,1fd6afc3,1,bot,twitterbot,page_view,2025-12-05 23:18:28.389261007,192.168.135.183,curl/7.88.1,1,,0.0,2,8
70e89a5b-535c-4a2f-bc4a-b8e89f217d79,1ff9dafb,0,human,none,page_view,2025-12-05 22:58:11.824652195,172.16.90.227,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",1,,0.0,2,4
2a465510-9cb7-404c-879f-6abdb729e924,2160d7f3,0,human,none,page_view,2025-12-05 22:49:11.231280565,172.16.179.44,"Mozilla/5.0 (Linux; Android 11; SM-A505F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.6045.163 Mobile Safari/537.36",1,,0.0,2,4
4926adba-77a6-4805-b3a8-c1cc7b5b605e,2269dae6,0,human,none,click,2025-12-05 22:49:03.918970108,10.0.36.222,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",1,,0.0,0,4
295156e2-e051-4251-88d6-c5cbd341b6c2,238378c0,0,human,none,click,2025-12-05 23:14:24.897479057,10.0.26.140,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",1,,0.0,0,4
0a5b1b37-4ae0-4403-97cb-c19d1cc08720,246c23c0,0,human,none,scroll,2025-12-05 23:14:55.871722221,192.168.211.109,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",1,,0.0,3,4
32bf86b9-1ba1-4102-ac8b-5194a8c9bb48,249c2564,0,human,none,page_view,2025-12-05 22:58:35.229560614,192.168.126.169,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",1,,0.0,2,4
47b3c28a-4cff-42ec-883c-eeb485441c20,252eea38,0,human,none,click,2025-12-05 22:49:28.134879589,66.249.82.107,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Googlebot/2.1; +http://www.google.com/bot.html) Chrome/120.0.6099.108 Safari/537.36",1,,0.0,0,4
d092416f-6650-4525-940c-b08d0057f695,266b83d3,0,human,none,page_view,2025-12-05 22:53:57.800414324,172.16.218.150,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,1,,0.0,2,4
a5da54a1-0bc9-4086-863c-e83fbcee33e0,26a6c7d5,0,human,none,search,2025-12-05 23:00:13.407755136,157.55.39.228,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),1,,0.0,4,4
c4e81d28-ab6b-4875-ac3e-3ba7df8b6f6c,27cddf60,1,bot,bingbot,page_view,2025-12-05 23:13:53.162173510,10.5.112.48,curl/7.88.1,1,,0.0,2,0
