event_id,session_id,is_bot,bot_type,action,timestamp,ip_address,user_agent,device_type,browser_family,os_family
b48f52db-1767-4303-b6b2-b617a40495fc,sess_efcc3907a963,0,none,scroll,2025-12-14T09:01:44.172450,172.16.131.35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15",desktop,safari,macos
abcd70bc-23aa-40a6-8575-8b23dd9b3667,sess_efcc3907a963,0,none,page_view,2025-12-14T09:01:45.266882,172.16.131.35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15",desktop,safari,macos
8ca63c3c-c5f1-4af7-851c-d8fe99fc5908,sess_efcc3907a963,0,none,search,2025-12-14T09:01:46.776376,172.16.131.35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15",desktop,safari,macos
abbc37f9-b7ff-4edd-8a58-809befd2db6f,sess_efcc3907a963,0,none,login,2025-12-14T09:01:47.087877,172.16.131.35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15",desktop,safari,macos
4b4f8d0c-1826-4699-a76c-6b4aeec2dec9,sess_ba1eca1c287f,1,twitterbot,scroll,2025-12-14T09:01:45.263354,10.220.177.176,Go-http-client/2.0,desktop,other,other
1f04551d-ae1f-4b5b-8aff-017fa63ab829,sess_ba1eca1c287f,1,twitterbot,page_view,2025-12-14T09:01:45.226659,10.220.177.176,Go-http-client/2.0,desktop,other,other
9b6d5e75-d34a-41c4-836c-61ec3a8716ee,sess_903e3462cad3,0,none,page_view,2025-12-14T09:01:44.777475,192.168.149.184,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",mobile,safari,macos
d143106f-2bfe-4503-a352-e1d54718adab,sess_ba1eca1c287f,1,twitterbot,click,2025-12-14T09:01:48.076651,10.220.177.176,Go-http-client/2.0,desktop,other,other
bd573fc0-f803-4f10-ac52-64558bbad253,sess_903e3462cad3,0,none,page_view,2025-12-14T09:01:45.755721,192.168.149.184,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",mobile,safari,macos
f7a78c86-d9a2-4b80-9f16-96f1bec20c15,sess_0bab73b6304f,0,none,page_view,2025-12-14T09:01:53.061205,10.0.179.165,"Mozilla/5.0 (Linux; Android 11; SM-A505F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.6045.163 Mobile Safari/537.36",mobile,chrome,android
52680bea-3088-4fc3-afe6-0cefd9184711,sess_903e3462cad3,0,none,scroll,2025-12-14T09:01:47.707651,192.168.149.184,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",mobile,safari,macos
86e24f2c-809e-47f3-804e-261f0c63bd13,sess_ba1eca1c287f,1,twitterbot,click,2025-12-14T09:01:45.540643,10.220.177.176,Go-http-client/2.0,desktop,other,other
50eb9406-ce7c-4efc-aebc-d7a3d305d73e,sess_903e3462cad3,0,none,click,2025-12-14T09:01:46.812061,192.168.149.184,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",mobile,safari,macos
c8b7f59c-a4df-41b6-960f-81766cc19c34,sess_9a99fcdce61f,0,none,search,2025-12-14T09:01:45.242373,10.0.32.145,"Mozilla/5.0 (Linux; Android 11; SM-A505F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.6045.163 Mobile Safari/537.36",mobile,chrome,android
cae8fe13-ea89-43df-928c-4aa5ad454909,sess_bc0e47badcec,1,python_requests_bot,scroll,2025-12-14T09:01:46.299883,172.21.242.240,Mozilla/5.0 (compatible; Bingbot/2.0; +http://www.bing.com/bingbot.htm),desktop,bot_client,other
683f61a8-a826-4b03-8821-4785c61d8834,sess_8774e65f823d,1,bingbot,login,2025-12-14T09:01:46.146704,157.55.39.182,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),desktop,other,other
c7c235e3-9d60-48e2-84fe-1615651bb435,sess_bc0e47badcec,1,python_requests_bot,scroll,2025-12-14T09:01:46.411701,172.21.242.240,Mozilla/5.0 (compatible; Bingbot/2.0; +http://www.bing.com/bingbot.htm),desktop,bot_client,other
0c6fb285-28e0-42a5-adfd-1298a6a162f2,sess_bc0e47badcec,1,python_requests_bot,click,2025-12-14T09:01:48.645195,172.21.242.240,Mozilla/5.0 (compatible; Bingbot/2.0; +http://www.bing.com/bingbot.htm),desktop,bot_client,other
6415b6d6-164a-482a-9d01-eaf50ca39265,sess_8774e65f823d,1,bingbot,page_view,2025-12-14T09:01:46.807857,157.55.39.182,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),desktop,other,other
ff953ad9-4055-407f-abfc-9a50d0dc54db,sess_bc0e47badcec,1,python_requests_bot,login,2025-12-14T09:01:47.888087,172.21.242.240,Mozilla/5.0 (compatible; Bingbot/2.0; +http://www.bing.com/bingbot.htm),desktop,bot_client,other
05efeeb7-12fd-467c-a420-a32ea252ea84,sess_bc0e47badcec,1,python_requests_bot,scroll,2025-12-14T09:01:50.189071,172.21.242.240,Mozilla/5.0 (compatible; Bingbot/2.0; +http://www.bing.com/bingbot.htm),desktop,bot_client,other
cccd31b2-3d3c-4476-8f3e-39448c3d61c4,sess_8774e65f823d,1,bingbot,page_view,2025-12-14T09:01:48.750210,157.55.39.182,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),desktop,other,other
648d388b-f404-4def-9ed8-18c5d1135925,sess_bc0e47badcec,1,python_requests_bot,page_view,2025-12-14T09:01:54.777086,172.21.242.240,Mozilla/5.0 (compatible; Bingbot/2.0; +http://www.bing.com/bingbot.htm),desktop,bot_client,other
53eeeac3-dbbf-4c29-9ce5-2f96a0424038,sess_8774e65f823d,1,bingbot,scroll,2025-12-14T09:01:50.055014,157.55.39.182,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),desktop,other,other
cf5a1aa6-d4b9-4292-862a-ae458d8013f3,sess_8774e65f823d,1,bingbot,click,2025-12-14T09:01:50.433177,157.55.39.182,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),desktop,other,other
46690cb1-c01a-4022-b8b6-d9b33a5fb048,sess_8774e65f823d,1,bingbot,page_view,2025-12-14T09:01:48.714699,157.55.39.182,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),desktop,other,other
0470c525-3e0a-4a66-b8bb-c690412c14d6,sess_8774e65f823d,1,bingbot,click,2025-12-14T09:01:54.630449,157.55.39.182,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),desktop,other,other
16aeb84b-730b-4d79-83b5-9a1eeb0cc852,sess_8774e65f823d,1,bingbot,page_view,2025-12-14T09:01:55.111248,157.55.39.182,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),desktop,other,other
d2cf4dd8-16dc-4bd7-92f8-e0e935a192f4,sess_6166a139dc10,0,none,scroll,2025-12-14T09:01:48.063628,10.0.202.81,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15",desktop,safari,macos
67993f1f-0d4d-4ec8-b212-5407358ef617,sess_111602c48ca0,0,none,page_view,2025-12-14T09:01:47.834288,172.16.55.80,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,desktop,firefox,windows
684b4bf3-941f-47da-ba3f-573fa3c47b90,sess_111602c48ca0,0,none,page_view,2025-12-14T09:01:47.666370,172.16.55.80,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,desktop,firefox,windows
9b5976c8-7209-4b59-94f0-d58899387d34,sess_111602c48ca0,0,none,scroll,2025-12-14T09:01:48.548551,172.16.55.80,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,desktop,firefox,windows
