event_id,session_id,timestamp,event_time,hour,day_of_week,action,action_code,actions_per_session,session_duration_sec,time_diff_sec,ip_address,is_private_ip,user_agent,device_type,browser_family,os_family,is_bot,bot_type
ed119fe3-e1ba-479f-b554-c83b9b11a730,sess_001d4c45ccd2,2025-12-14 12:08:13.163982,2025-12-14 12:08:13.163982,12,6,click,0,1,0.0,0.0,172.18.195.7,1,Selenium/Chrome/120.0.6099.109,desktop,chrome,other,1,facebook_externalhit
caf24812-0e03-46c9-ad9d-0d4be065aecd,sess_001ec8f0a9c8,2025-12-14 11:15:52.784139,2025-12-14 11:15:52.784139,11,6,page_view,2,1,0.0,0.0,66.249.92.55,0,python-requests/2.31.0,desktop,other,other,1,facebook_externalhit
dc18ab34-d597-4c32-bd76-5f379321c921,sess_001f796f57da,2025-12-14 09:04:48.629126,2025-12-14 09:04:48.629126,9,6,page_view,2,1,0.0,0.0,172.17.188.148,1,Selenium/Chrome/120.0.6099.109,desktop,chrome,other,1,curl_bot
0b82a9b2-4437-4870-b8f7-93d414e9b056,sess_00226d3cb3e4,2025-12-14 09:28:16.892395,2025-12-14 09:28:16.892395,9,6,scroll,3,1,0.0,0.0,192.168.140.155,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",desktop,chrome,windows,0,none
169fa53d-a591-450e-ba3e-cf98a975a7ed,sess_002cbcaf59f3,2025-12-14 10:59:28.633915,2025-12-14 10:59:28.633915,10,6,search,4,3,1.414651,0.0,10.0.73.125,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",desktop,chrome,linux,0,none
93ab1486-631a-4653-9445-7348dbf36e1c,sess_002cbcaf59f3,2025-12-14 10:59:29.523705,2025-12-14 10:59:29.523705,10,6,page_view,2,3,1.414651,0.88979,10.0.73.125,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",desktop,chrome,linux,0,none
b5810d29-a94d-4a05-9f43-45c63e3cb0e5,sess_002cbcaf59f3,2025-12-14 10:59:30.048566,2025-12-14 10:59:30.048566,10,6,search,4,3,1.414651,0.524861,10.0.73.125,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",desktop,chrome,linux,0,none
63125866-1db8-43d7-81ca-53895a6c7fb9,sess_00406ac8d59f,2025-12-14 09:21:25.408441,2025-12-14 09:21:25.408441,9,6,scroll,3,1,0.0,0.0,10.0.112.8,1,"Mozilla/5.0 (Linux; Android 11; SM-A505F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.6045.163 Mobile Safari/537.36",mobile,chrome,android,0,none
4b72f0b8-27f3-43c2-8f56-0463ddc40efa,sess_0043a0fe5c5e,2025-12-28 10:27:09.673335,2025-12-28 10:27:09.673335,10,6,page_view,2,1,0.0,0.0,10.0.146.34,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",mobile,safari,macos,0,none
761c33ab-4353-42a4-8394-2388288dba31,sess_004dbf3bb909,2025-12-14 11:50:07.652576,2025-12-14 11:50:07.652576,11,6,page_view,2,1,0.0,0.0,192.168.61.176,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",mobile,safari,macos,0,none
ce76de61-7ea3-4572-bfca-6c93d1ff3b2b,sess_0055ae61cd35,2025-12-14 09:08:22.420896,2025-12-14 09:08:22.420896,9,6,click,0,1,0.0,0.0,66.249.91.238,0,Go-http-client/2.0,desktop,other,other,1,bingbot
0778d1fc-7e00-477a-afc2-4363e6213183,sess_0062422fd88a,2025-12-11 14:50:19.416846,2025-12-11 14:50:19.416846,14,3,page_view,2,1,0.0,0.0,172.16.17.70,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",desktop,chrome,linux,0,none
5351327d-3631-40ba-a58a-7c3bb1a4b470,sess_00629599bcfa,2025-12-14 09:01:50.399676,2025-12-14 09:01:50.399676,9,6,page_view,2,4,2.128814,0.0,157.55.39.231,0,Go-http-client/2.0,desktop,other,other,1,bingbot
39ee83c9-4ae1-4b00-8a5c-01edea2d067c,sess_00629599bcfa,2025-12-14 09:01:50.679675,2025-12-14 09:01:50.679675,9,6,page_view,2,4,2.128814,0.279999,157.55.39.231,0,Go-http-client/2.0,desktop,other,other,1,bingbot
9b62ecde-0522-472f-a1bc-4d4c3e76ea8d,sess_00629599bcfa,2025-12-14 09:01:51.708615,2025-12-14 09:01:51.708615,9,6,click,0,4,2.128814,1.02894,157.55.39.231,0,Go-http-client/2.0,desktop,other,other,1,bingbot
