event_id,session_id,is_bot,bot_type,action,timestamp,ip_address,user_agent,device_type,browser_family,os_family
bb853194-20bc-4315-ac47-f1a45be17af5,sess_b98174d8efc6,0,none,search,2025-12-14 10:59:26.726485,172.16.138.195,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",mobile,safari,macos
e3006e72-55ce-465e-b6e7-b8c52f683734,sess_b98174d8efc6,0,none,click,2025-12-14 10:59:27.715955,172.16.138.195,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",mobile,safari,macos
2c6d6738-0066-4511-ba4d-0eae4ade33cd,sess_b98174d8efc6,0,none,search,2025-12-14 10:59:28.233751,172.16.138.195,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",mobile,safari,macos
d69d2a30-a81e-4d67-bfdc-76e4a28528ae,sess_b98174d8efc6,0,none,scroll,2025-12-14 10:59:28.384988,172.16.138.195,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",mobile,safari,macos
de3c56b2-bc6f-44ec-94b9-c64f4adb0fbb,sess_4ed7e91eec0e,0,none,page_view,2025-12-14 10:59:26.903322,10.0.131.68,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15",desktop,safari,macos
4f825c55-cd54-4558-b08f-1ab74e18b4ec,sess_07ea47bfcb43,1,yandex_bot,search,2025-12-14 10:59:27.757411,10.153.242.153,python-requests/2.31.0,desktop,other,other
5cfcf19a-7951-423c-ac79-78fe4c624b8b,sess_07ea47bfcb43,1,yandex_bot,page_view,2025-12-14 10:59:28.054832,10.153.242.153,python-requests/2.31.0,desktop,other,other
d04588c3-e8ba-415b-9598-883723be0a7b,sess_07ea47bfcb43,1,yandex_bot,page_view,2025-12-14 10:59:30.445563,10.153.242.153,python-requests/2.31.0,desktop,other,other
7d676d9c-60c4-43e3-9469-5e1eb98e2e84,sess_07ea47bfcb43,1,yandex_bot,login,2025-12-14 10:59:31.829603,10.153.242.153,python-requests/2.31.0,desktop,other,other
43f60348-8d17-4073-841b-3d7d5d34e155,sess_07ea47bfcb43,1,yandex_bot,scroll,2025-12-14 10:59:33.384212,10.153.242.153,python-requests/2.31.0,desktop,other,other
